Nombre de ville, temps d execution, Poids chemin
5,0.0,42
5,0.0010030269622802734,38
5,0.0,41
5,0.0,35
5,0.0,30
5,0.0,37
5,0.0,50
5,0.0,37
5,0.0,33
10,0.0009987354278564453,58
10,0.0010564327239990234,53
10,0.0,48
10,0.0,73
10,0.0,59
10,0.0,59
10,0.0,76
10,0.0,62
10,0.0,63
50,0.03390955924987793,234
50,0.015955209732055664,236
50,0.020999431610107422,211
50,0.016006946563720703,210
50,0.021945953369140625,220
50,0.021901369094848633,208
50,0.020944833755493164,233
50,0.020942211151123047,222
50,0.016017913818359375,218
100,0.0957491397857666,380
100,0.09375119209289551,366
100,0.09673833847045898,367
100,0.0668182373046875,348
100,0.09574532508850098,365
100,0.05485343933105469,369
100,0.09374833106994629,353
100,0.09374737739562988,376
100,0.07579612731933594,335
500,2.6170573234558105,1327
500,2.5511982440948486,1342
500,2.5412261486053467,1382
500,4.061143398284912,1361
500,2.8533713817596436,1346
500,2.586136817932129,1347
500,2.781491994857788,1346
500,3.252342700958252,1368
500,3.4717178344726562,1346
1000,16.201692819595337,2460
1000,12.108641147613525,2474
1000,13.246602773666382,2484
1000,13.059106826782227,2454
1000,12.587364435195923,2463
1000,15.419806957244873,2458
1000,12.343018531799316,2459
1000,18.374897241592407,2484
1000,13.155879259109497,2470
