Nombre de ville, temps d execution, Poids chemin, nombre d iterations
500,1.1738624572753906,4039,1945
7,0.10571694374084473,61,1945
7,0.10671520233154297,61,1945
7,0.11967802047729492,60,1945
7,0.09175515174865723,61,1945
