,number,time
0,10,0.0009899139404296875
1,60,0.043879032135009766
2,110,0.15459346771240234
3,160,0.6503045558929443
4,210,0.9234941005706787
5,260,1.0641520023345947
6,310,1.116018533706665
7,360,1.9657950401306152
8,410,2.82344651222229
9,460,3.241346597671509
10,510,5.172184228897095
11,560,4.2077624797821045
12,610,6.91846776008606
13,660,7.112993955612183
14,710,10.529665470123291
15,760,10.195749044418335
16,810,15.119587421417236
17,860,16.025217533111572
18,910,16.158854246139526
19,960,22.54728603363037
20,1010,22.71444821357727
