,number,time
0,10,0.07081198692321777
1,60,0.1506047248840332
2,110,0.267261266708374
3,160,0.5674788951873779
4,210,0.4348917007446289
5,260,0.5195646286010742
6,310,0.6094152927398682
7,360,0.6422407627105713
8,410,0.7160897254943848
9,460,0.7899105548858643
10,510,0.8636910915374756
11,560,1.0202839374542236
12,610,1.0880990028381348
13,660,1.1070411205291748
14,710,1.1888220310211182
15,760,1.3783612251281738
16,810,1.3903353214263916
17,860,1.4860308170318604
18,910,1.6077404022216797
19,960,2.433501720428467
20,1010,1.6994585990905762
